codec,setting,psnr,ssim,ms_ssim,mse,bpp,compression_ratio
Learned AE,checkpoint,22.56046945359972,0.7150824578603109,0.9022357352574666,0.005891638992147313,1.1036410861545138,21.749571702745225
JPEG,Q65,35.17539068433973,0.9598695951037937,0.9933442764812046,0.0003161399818620541,1.1556981065538194,21.28861623975966
JPEG2000,rate_24,30.111285222371418,0.8878748202323914,0.9745276692178514,0.0011183888618446266,0.9967366536458333,24.07869128757053
WebP,Q80,37.48292095608181,0.9706084100405376,0.9944825596279568,0.0001809625250623665,1.0790143500434028,23.439412557813856
