codec,setting,psnr,ssim,ms_ssim,mse,bpp,compression_ratio
Learned AE,checkpoint,22.56046945359972,0.7150824578603109,0.9022357352574666,0.005891638992147313,1.1036410861545138,21.749571702745225
JPEG,Q20,29.893389909532335,0.8935722186830308,0.9743560237354703,0.0010633937119402818,0.5395152452256945,45.528738013373484
JPEG,Q35,32.18428349812825,0.9299508274926079,0.9860197628868951,0.0006299637151985533,0.7686899142795139,31.99912517971463
JPEG,Q50,33.65182892693414,0.9467499155468411,0.9904349806573656,0.0004495711678949495,0.9456186252170139,26.017671432495117
JPEG,Q65,35.17539068433973,0.9598695951037937,0.9933442764812046,0.0003161399818620541,1.1556981065538194,21.28861623975966
JPEG,Q80,37.76497958713107,0.9749000469843546,0.9963197697533501,0.00017354159127636295,1.5465445285373265,15.90144730038113
JPEG,Q95,44.05397550794813,0.9919723704126147,0.9988732626703051,4.023783447337337e-05,2.9173558213975697,8.393222641415067
JPEG2000,rate_64,25.519897944132488,0.7742443627781338,0.9295730079544915,0.0030750497257233493,0.3735724555121528,64.24542400783963
JPEG2000,rate_48,26.738466178046334,0.8111317981614007,0.9466738947232565,0.0023469867487438023,0.49805243598090276,48.18823348999023
JPEG2000,rate_32,28.613871290418835,0.8583920703993904,0.9649931234783596,0.001553953286105146,0.7471502685546875,32.12226171705458
JPEG2000,rate_24,30.111285222371418,0.8878748202323914,0.9745276692178514,0.0011183888618446266,0.9967366536458333,24.07869128757053
JPEG2000,rate_16,32.506708747016056,0.9238797516292996,0.9845287990570069,0.0006604593098422305,1.495332505967882,16.049981388515896
JPEG2000,rate_8,37.63115074157715,0.9687598962253995,0.994622368812561,0.00021121177300099386,2.9925027804904514,8.020052676730685
WebP,Q20,30.84261626349555,0.9076134231355455,0.9789681749873691,0.000846052219470342,0.4160689290364583,60.71259858873155
WebP,Q35,32.56357666863335,0.9311758059925503,0.9853300465477838,0.0005671397591423658,0.5470274522569445,46.340434087117515
WebP,Q50,33.95393399556478,0.9452397425969442,0.9888972896999783,0.0004105603803570072,0.66940185546875,37.88377599928114
WebP,Q65,35.15978847927517,0.95577407307095,0.9913917756080628,0.0003102507466812515,0.79634765625,31.835464859008788
WebP,Q80,37.48292095608181,0.9706084100405376,0.9944825596279568,0.0001809625250623665,1.0790143500434028,23.439412557813856
WebP,Q95,44.0609068637424,0.9913391500049167,0.9984198525216844,3.96990570799163e-05,2.2977361382378474,10.802275023990207
