codec,setting,psnr,ssim,ms_ssim,mse,bpp,compression_ratio
Learned AE,checkpoint,23.55885362625122,0.752821758389473,0.9197496622800827,0.004416079260408878,1.108917236328125,21.643463134765625
JPEG,Q65,36.0001106262207,0.9663808345794678,0.9943676739931107,0.0002513776271371171,1.0349044799804688,23.268430709838867
JPEG2000,rate_24,31.533584117889404,0.9168346673250198,0.9810599833726883,0.000712599212420173,0.9996414184570312,24.00861692428589
WebP,Q80,38.13101387023926,0.9738636016845703,0.9951006323099136,0.00015435638488270342,0.8867950439453125,27.206157684326172
